Ano,ID IBGE,Localidade,ICE-R - Emprego,Empregos,Massa Salarial,Renda Mensal Média,Distância média,Ganho de oportunidade médio
2014,4316808,Santa Cruz do Sul - RS,"1,681","41,9 Mil","R$ 89,7 Milhões","R$ 2,14 Mil","0,827","0,156"
2014,2914802,Itabuna - BA,"1,596","41,9 Mil","R$ 65,3 Milhões","R$ 1,56 Mil","0,838","0,163"
2014,3507506,Botucatu - SP,"1,811","41,7 Mil",R$ 109 Milhões,"R$ 2,6 Mil","0,874","0,122"
2014,3170701,Varginha - MG,"2,157","41,2 Mil","R$ 70,2 Milhões","R$ 1,7 Mil","0,765","0,12"
2014,3551009,São Vicente - SP,"1,461","41,2 Mil","R$ 80,6 Milhões","R$ 1,96 Mil","0,857","0,163"
2014,3511102,Catanduva - SP,"1,947","41,2 Mil","R$ 80,5 Milhões","R$ 1,96 Mil","0,79","0,135"
2014,3131703,Itabira - MG,"1,886",41 Mil,"R$ 89,7 Milhões","R$ 2,19 Mil","0,917","0,1"
2014,3530706,Mogi Guaçu - SP,"2,113","40,9 Mil","R$ 92,8 Milhões","R$ 2,27 Mil","0,795","0,113"
2014,2304285,Eusébio - CE,"2,711","40,9 Mil","R$ 62,7 Milhões","R$ 1,53 Mil","0,816","0,072"
2014,4218707,Tubarão - SC,"1,935","40,4 Mil","R$ 73,4 Milhões","R$ 1,82 Mil","0,768","0,15"
2014,4105805,Colombo - PR,"2,45","40,4 Mil","R$ 77,7 Milhões","R$ 1,93 Mil","0,75","0,082"
2014,3148004,Patos de Minas - MG,"1,26","40,2 Mil","R$ 65,3 Milhões","R$ 1,62 Mil","0,769","0,244"
2014,3536505,Paulínia - SP,"2,901",40 Mil,R$ 144 Milhões,"R$ 3,6 Mil","0,869","0,051"
2014,3504107,Atibaia - SP,"2,493",40 Mil,"R$ 86,5 Milhões","R$ 2,16 Mil","0,758","0,074"
2014,2403251,Parnamirim - RN,"1,675","39,2 Mil","R$ 55,3 Milhões","R$ 1,41 Mil","0,822","0,161"
2014,4307005,Erechim - RS,"2,002",39 Mil,"R$ 74,4 Milhões","R$ 1,91 Mil","0,776","0,133"
2014,3556701,Vinhedo - SP,"2,92",39 Mil,"R$ 98,5 Milhões","R$ 2,53 Mil","0,819","0,037"
2014,3503307,Araras - SP,"2,219","38,9 Mil","R$ 83,4 Milhões","R$ 2,14 Mil","0,785","0,105"
2014,3522505,Itapevi - SP,"3,028","38,8 Mil",R$ 109 Milhões,"R$ 2,8 Mil","0,874","0,04"
2014,3513504,Cubatão - SP,"2,807","38,8 Mil",R$ 139 Milhões,"R$ 3,6 Mil","0,926","0,063"
2014,4211900,Palhoça - SC,"1,963","38,7 Mil","R$ 66,3 Milhões","R$ 1,71 Mil","0,781","0,144"
2014,3305802,Teresópolis - RJ,"1,457","38,6 Mil","R$ 64,5 Milhões","R$ 1,67 Mil","0,835","0,176"
2014,2610707,Paulista - PE,"1,581","38,5 Mil","R$ 59,4 Milhões","R$ 1,54 Mil","0,836","0,155"
2014,3510609,Carapicuíba - SP,"2,176","38,4 Mil","R$ 70,4 Milhões","R$ 1,84 Mil","0,791","0,111"
2014,4118204,Paranaguá - PR,"1,541","38,3 Mil","R$ 79,6 Milhões","R$ 2,08 Mil","0,853","0,158"
2014,4101507,Arapongas - PR,"1,872","38,2 Mil","R$ 67,5 Milhões","R$ 1,77 Mil","0,799","0,142"
2014,3304201,Resende - RJ,"2,362","38,1 Mil",R$ 90 Milhões,"R$ 2,36 Mil","0,873","0,082"
2014,3506508,Birigui - SP,"1,989","37,6 Mil","R$ 59,4 Milhões","R$ 1,58 Mil","0,819","0,122"
2014,3300407,Barra Mansa - RJ,"1,935","37,4 Mil","R$ 63,5 Milhões","R$ 1,7 Mil","0,812","0,139"
2014,4311403,Lajeado - RS,"1,938","36,5 Mil","R$ 64,7 Milhões","R$ 1,77 Mil","0,798","0,142"
2014,3524709,Jaguariúna - SP,"2,904","36,3 Mil","R$ 93,4 Milhões","R$ 2,57 Mil","0,895","0,051"
2014,3523404,Itatiba - SP,"2,553","36,3 Mil","R$ 81,8 Milhões","R$ 2,26 Mil","0,762","0,063"
2014,3522307,Itapetininga - SP,"1,248","36,2 Mil","R$ 59,8 Milhões","R$ 1,65 Mil","0,813","0,208"
2014,2700300,Arapiraca - AL,"1,43","36,1 Mil","R$ 45,1 Milhões","R$ 1,25 Mil","0,821","0,19"
2014,3300456,Belford Roxo - RJ,"1,617","35,9 Mil",R$ 64 Milhões,"R$ 1,78 Mil","0,9","0,116"
2014,5107909,Sinop - MT,"1,415","35,9 Mil",R$ 69 Milhões,"R$ 1,92 Mil","0,792","0,208"
2014,3302007,Itaguaí - RJ,"2,038","35,7 Mil","R$ 88,3 Milhões","R$ 2,47 Mil","0,934","0,086"
2014,4101408,Apucarana - PR,"1,708","35,6 Mil","R$ 56,9 Milhões","R$ 1,6 Mil","0,77","0,179"
2014,3201506,Colatina - ES,"1,281","35,6 Mil","R$ 57,5 Milhões","R$ 1,62 Mil","0,845","0,182"
2014,5008305,Três Lagoas - MS,"1,743","35,3 Mil","R$ 79,5 Milhões","R$ 2,25 Mil","0,854","0,132"
2014,2918407,Juazeiro - BA,"1,024","34,6 Mil","R$ 53,5 Milhões","R$ 1,55 Mil","0,851","0,193"
2014,3538006,Pindamonhangaba - SP,"2,663",34 Mil,"R$ 84,5 Milhões","R$ 2,48 Mil","0,868","0,058"
2014,3505500,Barretos - SP,"1,207","33,9 Mil","R$ 61,4 Milhões","R$ 1,81 Mil","0,845","0,189"
2014,2913606,Ilhéus - BA,"1,552","33,4 Mil","R$ 70,3 Milhões","R$ 2,1 Mil","0,886","0,13"
2014,1502400,Castanhal - PA,"1,345","33,1 Mil","R$ 45,2 Milhões","R$ 1,36 Mil","0,829","0,19"
2014,2930709,Simões Filho - BA,"2,699","33,1 Mil","R$ 65,2 Milhões","R$ 1,97 Mil","0,79","0,06"
2014,4128104,Umuarama - PR,"1,427",32 Mil,R$ 52 Milhões,"R$ 1,63 Mil","0,79","0,202"
2014,3539806,Poá - SP,"2,377","31,7 Mil","R$ 56,7 Milhões","R$ 1,79 Mil","0,85","0,088"
2014,3518404,Guaratinguetá - SP,"1,95","31,4 Mil","R$ 74,1 Milhões","R$ 2,36 Mil","0,852","0,126"
2014,3304524,Rio Das Ostras - RJ,"1,891","31,1 Mil","R$ 92,7 Milhões","R$ 2,98 Mil","0,915","0,1"
2014,3554003,Tatuí - SP,"1,778",31 Mil,"R$ 63,9 Milhões","R$ 2,06 Mil","0,849","0,128"
2014,3529302,Matão - SP,"2,252","30,9 Mil","R$ 67,3 Milhões","R$ 2,18 Mil","0,876","0,087"
2014,1702109,Araguaína - TO,"1,281","30,9 Mil","R$ 48,4 Milhões","R$ 1,57 Mil","0,831","0,196"
