ano,popul,codigo_ibge
2010,6018,110148
2011,5938,110148
2012,5862,110148
2013,6219,110148
2014,6160,110148
2015,6103,110148
2016,6048,110148
2017,5994,110148
2018,5280,110148
2019,5172,110148
2020,5066,110148
2021,4962,110148
2022,5259,110148
1996,,110149
1997,7041,110149
1998,6387,110149
1999,6799,110149
2000,11085,110149
2001,11963,110149
2002,13636,110149
2003,14370,110149
2004,17600,110149
2005,16764,110149
2006,17610,110149
2007,15710,110149
2008,16091,110149
2009,16491,110149
2010,16035,110149
2011,16340,110149
2012,16636,110149
2013,18265,110149
2014,18640,110149
2015,19002,110149
2016,19353,110149
2017,19694,110149
2018,19842,110149
2019,20266,110149
2020,20681,110149
2021,21088,110149
2022,16302,110149
1992,6230,110150
1993,6607,110150
1994,6978,110150
1995,7343,110150
1996,8751,110150
1997,9117,110150
1998,9752,110150
1999,10350,110150
2000,11655,110150
2001,12409,110150
2002,12987,110150
2003,13584,110150
2004,16217,110150
2005,15535,110150
2006,16225,110150
2007,11757,110150
2008,12088,110150
2009,12117,110150
2010,11629,110150
2011,11624,110150
2012,11619,110150
2013,12505,110150
2014,12543,110150
2015,12581,110150
2016,12617,110150
2017,12653,110150
2018,11860,110150
2019,11856,110150
2020,11851,110150
2021,11846,110150
2022,11183,110150
1996,,110155
1997,5179,110155
1998,5170,110155
1999,5162,110155
2000,5618,110155
2001,5673,110155
2002,5697,110155
2003,5733,110155
2004,5894,110155
2005,5852,110155
2006,5894,110155
2007,4919,110155
2008,5070,110155
2009,5010,110155
2010,4888,110155
2011,4832,110155
2012,4778,110155
2013,5080,110155
2014,5041,110155
2015,5003,110155
2016,4966,110155
2017,4931,110155
2018,4384,110155
2019,4308,110155
2020,4233,110155
2021,4160,110155
2022,4284,110155
1992,7138,110160
1993,7434,110160
1994,7709,110160
1995,7977,110160
1996,8500,110160
1997,8873,110160
1998,9317,110160
1999,9677,110160
2000,11355,110160
2001,11651,110160
2002,12047,110160
2003,12468,110160
2004,14320,110160
2005,13840,110160
2006,14326,110160
2007,9952,110160
2008,10254,110160
2009,10325,110160
2010,10649,110160
2011,10611,110160
2012,10575,110160
2013,11343,110160
2014,11345,110160
2015,11347,110160
2016,11348,110160
2017,11350,110160
2018,10494,110160
2019,10444,110160
2020,10395,110160
2021,10348,110160
2022,9253,110160
1992,11560,110170
1993,11996,110170
1994,12457,110170
1995,12908,110170
1996,14181,110170
1997,14767,110170
1998,15322,110170
1999,15825,110170
2000,14880,110170
2001,15354,110170
2002,15700,110170
2003,16081,110170
2004,17756,110170
2005,17322,110170
2006,17761,110170
2007,13381,110170
2008,13785,110170
2009,13661,110170
2010,12974,110170
2011,12828,110170
2012,12687,110170
2013,13491,110170
2014,13391,110170
2015,13293,110170
2016,13198,110170
2017,13106,110170
2018,11665,110170
2019,11467,110170
2020,11272,110170
2021,11081,110170
2022,10828,110170
1996,,110175
1997,6621,110175
1998,7122,110175
1999,7681,110175
2000,7737,110175
2001,8246,110175
2002,8655,110175
2003,9081,110175
2004,10957,110175
2005,10471,110175
2006,10962,110175
2007,8751,110175
2008,8981,110175
2009,9100,110175
2010,9384,110175
2011,9510,110175
2012,9633,110175
2013,10518,110175
2014,10682,110175
2015,10843,110175
2016,10999,110175
